review	constructive
TITLE: Perfect Asian fusion experience | TEXT: Benu is an over the top Asian fusion restaurant in downtown San Francisco.  The meal is a prix fixe experience with 3-4 pre—meal appetizers.   Then the menu is superb, it includes pheasant, lobster, quail and abalone.   Dessert is a yuja sorbet with chocolate swirls.  The service is the best ever - everything was done perfectly and every dish was explained perfectly.  A good wonderful dinner and experience.	0
TITLE: Great experience | TEXT: It was a great experience I went there with my family and we love it. It was amazing hospitality and super fresh food. Highly recommended	0
TITLE: Excellent | TEXT: Excellent In-N-Out Burger. Reasonably fast and very friendly service. I see no point in the Drive-Thru. Cars were lined up on to the main road. I walked in, ordered, and was served within 6 minutes.	1
TITLE: Decadent Italian small dishes | TEXT: The menu is full of very well prepared Italian plates for sharing.   Dishes were a hit and served hot out of the kitchen - the polpette meatballs were savory and flavorful, and we loved the polenta, squash, clams, gnocchi, bucatini and balanzoni.   Perhaps the rigatoni was the only unimpressive dish we would pass on next time.   The tiramisu is decadent and enough to share across 4-6 people!   Tart cherry sorbetto was a serious treat!!   Our server was welcoming and attentive, very familiar with the menu and recommended an excellent wine.  They do tack on 3% kitchen admin - not to say the kitchen was any less than superb, but we are beyond unusual circumstances of Covid.   Consumers prefer simplicity and transparency and it would come off well to price the menu as you need to.	1
TITLE: Affordable Latin fusion | TEXT: Great place for a Latin fusion cuisine. Ceviches are to die for! Cuban empanadas are delicious 😋 drinks great and Albert the host manager a GEM !	0
TITLE: Fantastic brunch spot | TEXT: This was probably our favourite meal in San Francisco… great range of brunch options and fantastic friendly service- highly recommend	0
TITLE: BEST MEAL SO FAR! | TEXT: My wife and I have been visiting TURUNC for many years,if fact we stayed at the Es for a month 10 yrs ago,but we have not visited the restaurant for a few years,we went tonight,to be met by Mehmet,who was there 10 yrs ago, We booked a table the night before,tonight we a free starter of homemade bread and an olive oil dip,followed by chicken in bacon sauce and chicken with salmon & almond,both meals were excellent as was the service and great views and good value for money,we both said the best meal of our month long stay,we will be back	0
TITLE: Outstanding Place for Breakfast/Brunch | TEXT: The Dutch has changed a bit since some of these pictures.  It has upgraded the atmosphere, and the food continues to be outstanding. The wait staff is fast, friendly and efficient.  We had a egg white omelet and 3-Egg breakfast.  I recommend the sausage; its some of the best I've have had in a while (but spicy).   Great local place, quiet and good for talking.	1
TITLE: What a dinner… | TEXT: Excellent food, drink, ambience and service. Couple that with an old school vibe and an amazing view, and it makes for a great dinner.  We loved it and would return.	0
TITLE: Wet Behind the Bear's Ears | TEXT: Week long educational outing with a small group that was really educational and fun.  Seeing Bear's Ears National Monument for the first time was breathtaking.  The depth of knowledge from the scholars and coordinators on the excursion was very helpful.  Our native cultures are still alive and well and we all should explore while we have the opportunity.  Crow Canyon respects our Native American lands and wants to preserve and share with everyone.	0
TITLE: A love letter to Kann | TEXT: This place was an EXPERIENCE to say the least.  Let’s start with the service our server made our experience very unique to us, understanding my personal dietary restrictions and explaining the restaurant and it’s entirety to us and the culture how the food works and is intended to be eaten (that being shared of personal meals).   Now let’s talk about the food. The food itself felt like comfort all while still remaining sophisticated. It was extremely well portioned for you to be able to experience from starter meals to the actual entrées all the way to dessert. The best way to describe the food experience I had was the comfort of going to eat at my Nina’s and being served my favorite meal but at an elevated experience with great drinks and service.   One thing I normally don’t review is atmosphere because I love hole in the walls, but the atmosphere of the restaurant itself was organized without feeling so modern and also very busy while also feeling very warm and that says quite a bit, considering that we sat at the communal counter, which you would imagine would feel like like a very individualized experience, yet, it was! I felt as though I was in my own bubble and loved seeing what others were ordering (I’m nosey like that). So don’t shy away from the chef’s counter if you can’t get your own table. Oh and cleanliness was a 11/10.   The price point was fair.   I would 10000% recommend this as not only a restaurant but as an experience.	1
TITLE: Above | TEXT: Another amazing experience today. Had tofu tacos and a latte. View of the bay from my seat only a few yards from the west shore of Treasure Island. And as always the staff was so friendly and helpful to this senior.	0
TITLE: Great birthday surprise | TEXT: I booked a surprise birthday gift for my husband to 'fly' a simulator Spitfire. It was amazing. My husband was thrilled with this experience as his late mother built these planes during the war. Lovely welcoming staff who helped make this a remarkable memory.	0
TITLE: Absolutely loved this iconic place | TEXT: If you like Jazz this is an essential bar to visit.  The decor is amazing dating from 1934 and the jazz music was incredible. The drink prices were excellent too.  Very good cocktails for just $8.  Also really liked the bar staff.  This is definitely worth a visit	0
TITLE: Exceptional Experience | TEXT: This was my third or fourth time dining at Friday Saturday Sunday, and I think it gets better each time! The detail to every aspect of the food preparation is evident, along with the variety and uniqueness of every dish.  The servers are very approachable and extremely knowledgeable about every dish. The meal starts with seasonal snacks and progresses through vegetable tastings and a variety of proteins.  The meal ends with a dessert or two that in a perfect ending to a magnificent culinary experience!  I visit Philadelphia solo and never feel awkward or out of place dining by myself at this restaurant.  This is definitely a very upscale restaurant but pulls that off without being pretentious or snobby.  The upstairs tasting menu dining room is cozy yet comfortable.  I really can't say enough about the restaurant!  It is expensive, but should be thought of as an experience more than just a dinner.  In my opinion, the quality justifies the experience.  An added bonus to the tasting menu is the great wine and cocktail selections.  Friday Saturday Sunday really cares about it's patrons.  I look forward to seeing the hostess when I walk in, as she remembers me from previous visits.  That's pretty amazing considering the number of people that walk through that door.	0
TITLE: Bring your appetite | TEXT: Stopped for lunch and was stuffed for the rest of the day! Huge portions, good food, friendly staff. The chicken enchilada soup was my favorite.	0
TITLE: Not the old Ola | TEXT: Used to really enjoy but just had a very disappointing lunch.  The ceviche was far too acidic, overpowering the fish, and the shrimp overcooked and tough.  Fortunately the mojitos were very good	1
"TITLE: [no title] | TEXT: Favorite breakfast and short order place.  Food,  service and price is great!  Best of all is the friendly ""hometown"" atmosphere."	0
TITLE: Order to go??? | TEXT: Love the food - never missed yet on the three times that I have been there.  The only problem is the lack of sufficient parking. Most of the street parking require resident stickers or are limited to 15 minutes or 1 hour at the most.  Parking lots holds 8  (?) cars? Go with someone with a resident parking sticker.	1
TITLE: It was walking into a ToysRus store | TEXT: I had read many reviews online and asked staff at my hotel all the food market. It was a 10-15 walk from my hotel and walking to the Reading Terminal Market was like walking into a toy store and not knowing what toy you want buy first.  There was so much  choices  of food available.  After walking round the market for around 10 minutes looking to see what I fancied I eventually chose a vender and had my first Philly cheesesteak.  Delicious, will defo go back again before I leave. Must do place for a visit.	0
TITLE: Harding Presidential Sites | TEXT: We had a great visit to the Warren G Harding Presidential Library and Memorial. The Library (aka Museum) is quite small compared to other presidential libraries, but does a good job telling the story of Harding's short presidency. Tours of his home are only offered on the hour, so we had to miss that, but did take photos from the outside. We also visited the Harding Memorial in the cemetery, which was quite impressive. If you're passing by Marion, Ohio, take a break from your drive and stop by to see the presidential sites.	0
TITLE: Good but garlic everywhere | TEXT: The food and the service are good. But so much garlic everywhere…drinks were also good. I would go back but not my first choice.	1
TITLE: Great drinks by Sabina | TEXT: This place is always fun to come back to. I enjoy my time at the bar usually and servie by Sabina is great! She is a very lovely lady and always good to talk to.	0
TITLE: Clap and bow at every bite | TEXT: This is an experience in dining like no other! I have dined here 4 times since 2008. We always had unique savory food in small bites coupled with an entertaining chef. Cuisine masterpieces are presented like a show. Bravo! Standing ovation!	0
TITLE: Flavor party in every bite | TEXT: One of the best restaurants ever! If you enjoy flavor and creativity and great service, this place hits all the marks! The chefs choice tasting menu was fantastic!	0
TITLE: Great food, great staff and a different experience! | TEXT: There were 4 of us and one person could not tolerate garlic and our server really helped to determine the dishes that were free of it and which ones could be modified. I knew we were in a great restaurant ! Lots in the menu to choose from and the concept was to share the plates. We decided to do that but we also chose to have one as our main dish each. All the dishes were fantastic and too many to individually comment on. My main was the black cod and it was very good. I also had a bite of the pork chop and it was rich in flavour, moist and actually heavenly.  Overall a great culinary outing ! Well done!	1
TITLE: A welcome surprise | TEXT: When we got to San Quirico and saw the town, the main square, and the outside of the hotel, we were prepared to be disappointed. It's a small town, there's a gas station in the center of the piazza, and if you're looking for the hotel - well, the sign mostly indicates the restaurant: Ristorante La Vecchia Fonte. In fact, you have to enter the restaurant, walk through to the back, and say you have a reservation in the hotel. The friendly and helpful (though somewhat English-challenged) staff take you upstairs and show you your room - the rooms are bright, clean, and usable, with views overlooking the piazza or the town. It's a 15 minute (or so) level walk to the historic abandoned town of Vertozza nearby; otherwise, there's not much to do in San Quirico. We had dinner in the hotel's restaurant (Very good!) and breakfast (included) in the back of the restaurant. The promised WiFi didn't seem to connect in our room - but this is often the case in Italian hotels in our experience.	1
TITLE: Nice treat | TEXT: I first visited Tail Up Goat in 2019. It was astounding. Tried to visit last year but without a reservation, and ended up at their excellent sister restaurant. This year, we made reservations.  Great meal. The format has changed in the years since my first visit. Now, if you dine in the dining room, you must order the complete pre fixe menu… and some of the food is raw. I didn’t love that. But overall a delicious meal, nicely paced.	0
TITLE: A wonderful winery and restaurant! | TEXT: A wonderful winery with a great restaurant. Very beautiful inside. Friendly staff. Great to go up the stairs and look down from above into the giant barrel rooms! A very special place.	0
TITLE: Museum and House Tour Make this a fun Visit | TEXT: A visit to this presidential library comprises three potential activities.  First, there is an hour long tour of his house.  Second, the main building includes a small exhibition of his time as President.  Lastly, a mile from the library is his memorial.  We spent just under two hours here.	0
TITLE: Dont come | TEXT: We had a reservation but sat over 40 minutes after, ran out of our menu choice then ran out of the beer we ordered and food took forever to come.  Will not come back	1
TITLE: Learning at the Warren G. Harding Presidential Sites | TEXT: Great trip. We arrived at approximately 9:30 am and made our way towards the entrance of the museum. After paying the admission fee, we received a quick overview of the site and went on our way. We opted to view some of the outdoor exhibits first, which included the guard house and press house. The press house contained multiple informational plaques about President Hardings wife and her contributions to society. After viewing the press house, we made our way to the front porch of the house, where we waited for the 10 am guided hour tour to begin. There were guided tours of the presidents former house being held every hour throughout the day. The guided tour of the house was very informational, and the tour guide took us from room to room, while pointing out interesting features and artifacts out for display. The tour guide told us several personal stories related to the Hardings time at the house. The guided tour lasted roughly 1 hour.  After viewing the house, we went back inside to view the main exhibits. We opted to watch a short documentary about President Hardings life and some of the trials and tribulations he faced during his time as President. There were multiple informational plaques out for display, many of them quite text heavy, that went into detail about Hardings upbringing and roots as the owner of a newspaper company in Marion. The plaques also talked about election day, and several of the policy’s Harding implemented while in office. The last section of the museum dealt with his death and some controversial issues that surrounded his presidency. There were multiple artifacts out for display in the museum, along with short video clips that related to President Harding's time in office.  Tip: I recommend spending 3 hours here if you truly want to see everything.	0
TITLE: A well drilled operation and good food. And inexpensive | TEXT: Although not particularly a fan of burgers we gave this place a try. The visit was made better as we managed to get a table. With the volume of customers that isn't guaranteed. The quantity and quality of food was very good. Watching the throughput of customers and speed of operation [very slick] was impressive. And obviously very popular as one early evening we saw the queue [line] from order counter to door and some yards down the street.	1
TITLE: Nothing left to see | TEXT: Church of Saint Menas of Samatya also called as Agios Minas Church in Turkish is a Greek Orthodox Church in İstanbul.İt is located in the district of Fatih,in the neighbourhood of Kocamustafapaşa (historical Samatya) and it lies inside the walled city.Very easy to reach at by public transport like buses and tram and then a short walk.Presently it is also difficult to locate it and not in a good shape to see.Not recommended.	1
TITLE: A bit of a disappointment | TEXT: Having been recommended this as a treat for brunch we were looking forward to our visit.  Aware that most hotel lifts need a card to make them work we asked at the front desk and they just told us to go up to the 19th floor.  We went up as far as the 14th where a customer got in the lift and we started to descend again.  Luckily this customer used their room key to press for the 19th and once everyone got out in the lobby we went back up again.   The young lady serving was very polite and friendly but was on her own and the two people who were behind the desk did not attempt to help her.   We ordered starters and a main and after a half hour wait all the food came out together.  The main was warm but not hot as was the starter the toast had been hot at some point but was definitely cold by the time it got to us.   Having said all that the restaurant looked stunning, the food when it finally arrived although a little cold tasted good and the price was not unreasonable it’s just a shame that the customer experience was not what we would have expected	1
TITLE: Left Feeling Unwelcome Despite the Good Food | TEXT: Here’s a polished version that includes your new points and flows naturally in the review:  ---  Visited this restaurant with my husband for date night, but unfortunately our experience was disappointing. Right at the start, the waitress made a rude comment about my husband ordering tap water, which already set the wrong tone.  After ordering our drinks, we were told to grab salad from the salad bar. I wasn’t even halfway through my salad when, within about six minutes, they brought around six different types of meat. Everything felt extremely rushed, to the point where I had to turn my ticket to “no” because it was all coming too fast. I’ve been to Brazil, and even there the service is never this hurried.  My husband didn’t take any salad, so he was only eating meat. After about 45 minutes, they took away our plates, making it clear we wouldn’t receive any more food. The food and drinks themselves were actually good, and if we hadn’t felt rushed and unwelcome, we would’ve gladly ordered more drinks and even dessert.  They say they want to give you an “experience,” but unfortunately this was not a good one.	1
TITLE: Cold food | TEXT: I must give up coming to this location!  They take the order so far from the pay window, approx 40+ cars in line.  By the time I get my hamburger it is COLD!  I have mentioned to order takers, no response from them.  If only, they would take orders when maybe 10 cars ahead! I give up!	1
TITLE: My favorite wings | TEXT: We’ve never eaten in the restaurant , normally we get our food to go. We were seated quickly and there seemed to be plenty of help. They took our drink order and then our order. Our food came out reasonably quick considering how busy they were. We were there Saturday early evening, all college football on all the screens. All in all I would definitely come back again. If there’s a drawback for me is how noisy it is, but I anticipated this and I’m not dinging the place for this.	1
TITLE: Average stay | TEXT: Stayed here in 2005. Check in was ok. Room was ok with a kitchenette. Some cultery within the drawers needed clean, we didn't use them, Bought plastic forks from local shop. The pool area is lovely, although very busy in the evenings, i think they allow locals to use the pool, hard to find an empty sun lounger. The hotel is pretty much located next to the beach, which was nice if you wanted a change from the noise of the pool area. We didn't eat at the hotel, either ate out or made our own food in room.   Manta Rota is a very very quiet area in the algarve. Manta Rota is also a very small, quiet area. Not much to do. We spent most of our time further up the road in Monte Gordio, it's more liver with better selection of restaurants to choose from. Manta Rota is fine if your looking to sit and read a book all week. It was not the place that was sold to us, we were in mid tewnties, averge age was about 60 years!	1
"TITLE: A ""Must See"" Museum! | TEXT: The National Museum of Wildlife Art is located about 10 mins. outside of Jackson Spectacular monumental bronze sculptures are located thru out the museums outdoor campus, not to mention incredible views of the valley. Inside, a fabulous collections of paintings & sculptures  from the 1800's - present day and a really good Cafe' for lunch, snacks or just a few moments to sit. This museum's not to be missed."	0
TITLE: Burger, Shakes and the Delta. | TEXT: I think everyone in Stockton has to know that if you are coming back from a long day on the Water, you gotta refuel and finish off your Day over at Bob's Marina. You can get a massive burger for a pretty decent price as well as a pretty nice shake (best flavor is chocolate). Idk what else to say, this place is iconic for any Delta goer. Make sure you are hungry before heading over.	0
TITLE: ANOTHER GREAT MEAL | TEXT: Another year,another visit,my wife and I and two friends,visited tonight,we were shown to our pre booked table by Mehmet,we had a great view of the harbour and village,we had free homemade bread and a dip to start,followed by chicken in bacon sauce and chicken & salmon in almond sauce,which is exactly what we had last year,and as last year,both were excellent as was the service. Maybe the best meal so far!	0
TITLE: This is not good food | TEXT: The quality and taste of the food on the buffet is sub-par.  This probably explains why the place is virtually empty even at prime dining hours.	0
TITLE: Excellent food and Service | TEXT: Friends found this gem.   They raved about the food and service.   We went back with them the next day.   I ordered a BLT  and Hubs  ordered a chicken wrap both were excellent.  My BLT was actually  a stack of crispy bacon on toast with lettuce and tomato.    Not the usual lettuce and tomato bed with 2 strips of bacon.   Best BLT I’ve ever had offered for $7.   Or $ 10 with a side    Cheesecake for desert   Owner makes all the food  from scratch.  The cheesecake was heavenly.  The texture was a cross of cheese cake and mousse.veer light and creamy.  The owner came out and greeted us.    Will definitely return.	1
TITLE: Beautiful Elegant Yet Fun Ambiance | TEXT: I had dinner here tonight and give this place 5 stars due to the attentiveness and ambience. The decor, including a huge fish tank with a submarine inside catches your eye right away. Steak was amazing, and the staff gave me a surprise dessert when I told them I was celebrating a milestone accomplishment with work. They also promptly called me just as I was leaving the parking lot to inform me of an item left behind (at first I wondered how they even knew my number but figure they got it off of OpenDoor). Highly recommend this place and would definitely visit again.	1
TITLE: Funny quotes great service | TEXT: This is a quirky restaurant with funny quotes.  You will want to look up the quotes online.   We went for a weekend lunch and got a table quickly.   The service is prompt and the chips and salsa was good with the a nice heat to the salsa.   We ordered a couple dishes.  One of the dishes was switched with another diner so it had bacon in it.  The wait staff recognized on their own that they had made an error and apologized profusely and offered to it right by bringing out the dish made without the bacon.  It is rare to have that caring and hospitality any more in casual dining.   I was super impressed and would recommend this restaurant without hesitation.  The food itself was very good.  And, yes their quotes on the walls and boards are funny.	1
TITLE: Learning at the Warren G. Harding Presidential Sites | TEXT: Great trip. We arrived at approximately 9:30 am and made our way towards the entrance of the museum. After paying the admission fee, we received a quick overview of the site and went on our way. We opted to view some of the outdoor exhibits first, which included the guard house and press house. The press house contained multiple informational plaques about President Hardings wife and her contributions to society. After viewing the press house, we made our way to the front porch of the house, where we waited for the 10 am guided hour tour to begin. There were guided tours of the presidents former house being held every hour throughout the day. The guided tour of the house was very informational, and the tour guide took us from room to room, while pointing out interesting features and artifacts out for display. The tour guide told us several personal stories related to the Hardings time at the house. The guided tour lasted roughly 1 hour.  After viewing the house, we went back inside to view the main exhibits. We opted to watch a short documentary about President Hardings life and some of the trials and tribulations he faced during his time as President. There were multiple informational plaques out for display, many of them quite text heavy, that went into detail about Hardings upbringing and roots as the owner of a newspaper company in Marion. The plaques also talked about election day, and several of the policy’s Harding implemented while in office. The last section of the museum dealt with his death and some controversial issues that surrounded his presidency. There were multiple artifacts out for display in the museum, along with short video clips that related to President Harding's time in office.  Tip: I recommend spending 3 hours here if you truly want to see everything.	0
TITLE: Great place for a party | TEXT: We had the whole restaurant to ourselves for a birthday lunch. All of my guests raved about the food and the service. I had left the food selection up to Louis, the owner, and he chose well - seafood peleau, pork loin tender enough to cut with a fork, and coq au vin, also tender and delicious. The food was plentiful, and also included salad and dessert. Lunch was served hot and on schedule. We brought our own wine and paid a small corkage fee. Louis was great to work with during the planning stage, and always replied quickly to my phone calls, texts and emails. Wonderful experience all around and we will be back. Oh, and the location is very cool, too. You almost feel like you are really in the Caribbean.	1
TITLE: Cajun authentic experience | TEXT: Great place for lunch, probably for dinner too, also very central, besides the famous French Quarter. One of my good memories from New Orleans.	0
TITLE: Very nice coffee | TEXT: The best coffee in the city, keep going.. beautiful furniture, nice view. Espresso was quite good, the staff were polite ..	0
TITLE: Embarrassing Customer Service | TEXT: At about 1:30 this afternoon I visited the store on March Lane with my wife and got a cup of coffee I sat in the lobby for one hour drinking the coffee and I decided to get a refill I went to the register and asked the lady at the register whose name I don’t know to give me a refill but to my surprise she told me that I was not sitting in the lobby so she told me she couldn’t give me one I told her a couple of times that I was sitting in the lobby but still she didn’t believe me she went in and asked a colleague in the back room and the colleague confirmed that I came earlier and I was sitting in the lobby That was very embarrassing A manager came and apologised about what happen I felt so embarrassed that I used to visit that store everyday but not anymore My name is Jihad Basma and my phone number number is 2093199098	1
TITLE: BEST MEAL SO FAR! | TEXT: My wife and I have been visiting TURUNC for many years,if fact we stayed at the Es for a month 10 yrs ago,but we have not visited the restaurant for a few years,we went tonight,to be met by Mehmet,who was there 10 yrs ago, We booked a table the night before,tonight we a free starter of homemade bread and an olive oil dip,followed by chicken in bacon sauce and chicken with salmon & almond,both meals were excellent as was the service and great views and good value for money,we both said the best meal of our month long stay,we will be back	0
TITLE: Wonderful dining experience | TEXT: Great experience from ambience to service and food. Visited with friends and loved all of our selections: Tuna Cannoli, Halibut, Steak, and Bone Marrow. Our drinks were mixed perfectly and table service was impeccable.	0
TITLE: Delicious brunch & friendly vibes! | TEXT: Everything was delicious, fresh, and exquisitely presented, and I had the best breakfast here. From the minute we arrived, the personnel made us feel very welcome and very nice. Beautiful interior decor, ideal for unwinding before a full day of city exploration. I'm eager to return and would highly recommend!	0
TITLE: Phenomenal flavors! | TEXT: Phenomenal flavors! My husband and I always enjoy experiencing different restaurants when we travel and this was our favorite food of the trip by far. Flavors were complex & interesting while remaining balanced - I had so much fun tasting every bite of the meal. Highly recommend!	0
TITLE: Clam chowder not what you'd expect | TEXT: Clam chowder was a red based chowder kind of a hot spicy stew. Not what we expected clam chowder to be  Food was good but expensive and small. Also service was slow.  Waitress was distracted just a few waitresses for a crowd. It's not a very big place. Probably only a dozen tables if you don't eat outside.   Try the palm fish camp about a mile away. It's excellent.	1
TITLE: Fantastic Restaurant for Dine-In or Catering | TEXT: We hired Verdes Restaurant for catering at our recent event and were absolutely blown away! The food was fresh, flavorful, and beautifully presented — every guest raved about it. The service was just as impressive: professional, organized, and so easy to work with. They made the entire experience stress-free and elevated our event in every way. If you're looking for top-tier catering with unforgettable food and seamless service, Verdes is the way to go! Highly recommended.	0
TITLE: Great food and service! | TEXT: Good food and service.  We visited during the non peak time between lunch & dinner which can sometimes not be a good thing but the service was spot on and food was delicious.  My husband and I both had the Fajita burrito.  I even asked for some alterations to mine. Perfect!	1
TITLE: Great service with a lovely view | TEXT: ES is a very friendly restaurant with great service, delicious food and a lovely view of the harbour in Turunc. There is a nice selection of local and western dishes to choose from and the steaks are very good. Highly recommended.	0
TITLE: Good stuff | TEXT: Best curry in the country , authentic, homemade curry. Absolutely the most friendly staff you can meet. Worth it’s weight in gold this place	0
TITLE: The worst anniversary in history | TEXT: We arrived on time, perhaps slightly early for our reservation and were aggressively and very inhospitably treated by the 3 Three hostesses that were clearly not busy and more importantly not at all interested in us having a wonderful anniversary.  We waited over an hour at the bar and lounge and were given NO attention or updates whatsoever.  I have never been treated in such an inhumane fashion, the very worst I have ever undergone in my 35 years of dining at Miami's hottest/trendiest establishments.  Such a sad, sad, very sad end to what should have been a wonderful evening.	1
TITLE: A good afternoon’s bottle of wine!! | TEXT: We spent a good afternoon drinking a bottle of house white wine in Stockton’s only Mexican restaurant and bar in central California in America on our drive from Los Angeles to San Francisco. A good bottle of wine, ok atmosphere and cleanish lavatories.	0
TITLE: Huge disappointment | TEXT: Went here with dogs.  Sat at outdoor patio service was fine but food not.  One of the recommended dishes was biscuits and gravy.  Did not finish and return to kitchen.  Got chicken and waffles.  Not much of improvement.  Wife got Benedict and not good at all.  Don't understand how this place is at top hotel and subpar food.  But I see many reviews below average	0
